"","compound","CAS","Clint","unit.Clint","method.Clint","reference.Clint","original.reference.Clint","unit.conc.enzymes.Clint","X","conc.enzymes.Clint","Culture.condition","Culture.material","Culture.medium","Hepatocytes","HEPES.added","Incubation.volume..mL.","L.glutamine.Glutamax.added","Medium.movement","Other.constituents.added.","Sampling","Serum.albumin.added","Source","Species","Use.CO2.incubator","scaling.factor","method.phys.chem.Fup","Fup","Fut","method.Fup","reference.Fup","original.reference.Fup","ionization","pKa1","pKa2","logP","logD","method.phys.chem","quat.nitrogen","frac.unionized","frac.ionized.acid","frac.ionized.base","type","Kpad","Kpbo","Kpbr","Kpgu","Kphe","Kpki","Kpli","Kplu","Kpmu","Kpsk","Kpsp","method.partition","Fuinc","method.Fuinc"
"11","Antipyrine","60-80-0",0.2,"ul/min/10^6 cells","hep","Louisse 2020","Chao.et.al..2009_3","10^6 cell/ml",90,0.1,"plated","96-well plate","non-defined commercial medium","primary","no",0.1,"no","shaking","no","medium","yes","cryopreserved","human","yes",117.5,"ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.468343729140795,0.774904064789725,0.848412763506334,0.753015353883486,1.05790676230525,0.666502080207662,0.650680718641096,0.397579802179423,0.467742861218671,0.716134065971391,0.495753588849626,"RodgersRowland",0.993,"in silico"
"12","Antipyrine","60-80-0",0.2,"ul/min/10^6 cells","hep","Louisse 2020","Chao.et.al..2009_4","10^6 cell/ml",106,0.1,"plated","96-well plate","non-defined commercial medium","primary","no",0.1,"no","shaking","no","medium","yes","cryopreserved","human","yes",117.5,"ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.468343729140795,0.774904064789725,0.848412763506334,0.753015353883486,1.05790676230525,0.666502080207662,0.650680718641096,0.397579802179423,0.467742861218671,0.716134065971391,0.495753588849626,"RodgersRowland",0.993,"in silico"
"13","Antipyrine","60-80-0",0.27,"ul/min/10^6 cells","hep","Louisse 2020","Kidambi.et.al...2009","10^6 cell/ml",166,1,"suspension","microcentrifuge tube","DMEM","primary","no",0.5,"no","shaking","yes","medium + cells","yes","fresh","human","yes",117.5,"ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.468343729140795,0.774904064789725,0.848412763506334,0.753015353883486,1.05790676230525,0.666502080207662,0.650680718641096,0.397579802179423,0.467742861218671,0.716134065971391,0.495753588849626,"RodgersRowland",0.933,"in silico"
"14","Antipyrine","60-80-0",0.47,"ul/min/10^6 cells","hep","Louisse 2020","Lau.et.al...2002","10^6 cell/ml",173,1,"suspension","24-well plate","Waymouth's medium","primary","no",1,"yes","no","no","medium + cells","no","cryopreserved","human","yes",117.5,"ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.468343729140795,0.774904064789725,0.848412763506334,0.753015353883486,1.05790676230525,0.666502080207662,0.650680718641096,0.397579802179423,0.467742861218671,0.716134065971391,0.495753588849626,"RodgersRowland",0.933,"in silico"
"15","Antipyrine","60-80-0",0.04,"ul/min/10^6 cells","hep","Louisse 2020","Lave.et.al...1997","10^6 cell/ml",190,1.5,"plated","culture dish","WME","primary","no",1,"no","no","no","medium + cells","yes","fresh","human","no",117.5,"ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.468343729140795,0.774904064789725,0.848412763506334,0.753015353883486,1.05790676230525,0.666502080207662,0.650680718641096,0.397579802179423,0.467742861218671,0.716134065971391,0.495753588849626,"RodgersRowland",0.902,"in silico"
"16","Antipyrine","60-80-0",0.03,"ul/min/10^6 cells","hep","Louisse 2020","Shibata.et.al...2002","10^6 cell/ml",221,1,"suspension","96-well plate","serum","primary","no",0.05,"no","shaking","no","medium + cells","yes","cryopreserved","human","yes",117.5,"ChemAxon",0.46038090897104,0.630494285624997,"in silico","LobellSivarajah","LobellSivarajah","monoproticBase",0.49,NA,1.22,1.22,"ChemAxon","no",0.999999876973138,0,1.23026862031139e-07,3,0.468343729140795,0.774904064789725,0.848412763506334,0.753015353883486,1.05790676230525,0.666502080207662,0.650680718641096,0.397579802179423,0.467742861218671,0.716134065971391,0.495753588849626,"RodgersRowland",0.933,"in silico"
"17","Benzylparaben","94-18-8",356,"ul/min/10^6 cells","hep","Black.et.al...2021_1","Black.et.al...2021_1","10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,"httk",0.0710138774640503,0.132610564546927,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",8.5,NA,3.556,3.52,"httk","no",0.926412443882426,0.0735875561175736,0,2,22.0331585357737,17.6576183859649,14.6325906168594,12.4585707253713,21.6781663121729,9.75124754170631,9.62390657669211,1.16116840239032,3.78126195147316,12.1325755343798,4.09881409345652,"RodgersRowland",NA,"in silico"
"18","Benzylparaben","94-18-8",192,"ul/min/10^6 cells","hep","Black.et.al...2021_1","Black.et.al...2021_1","10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,"httk",0.0710138774640503,0.132610564546927,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",8.5,NA,3.556,3.52,"httk","no",0.926412443882426,0.0735875561175736,0,2,22.0331585357737,17.6576183859649,14.6325906168594,12.4585707253713,21.6781663121729,9.75124754170631,9.62390657669211,1.16116840239032,3.78126195147316,12.1325755343798,4.09881409345652,"RodgersRowland",NA,"in silico"
"19","Benzylparaben","94-18-8",312,"ul/min/10^6 cells","hep","Black.et.al...2021_1","Wambaugh.et.al...2019_1","10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,"httk",0.0710138774640503,0.132610564546927,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",8.5,NA,3.556,3.52,"httk","no",0.926412443882426,0.0735875561175736,0,2,22.0331585357737,17.6576183859649,14.6325906168594,12.4585707253713,21.6781663121729,9.75124754170631,9.62390657669211,1.16116840239032,3.78126195147316,12.1325755343798,4.09881409345652,"RodgersRowland",NA,"in silico"
"20","Benzylparaben","94-18-8",633,"ul/min/10^6 cells","hep","Black.et.al...2021_1","Wambaugh.et.al...2019_1","10^6 cell/ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,"httk",0.0710138774640503,0.132610564546927,"in silico","LobellSivarajah","LobellSivarajah","monoproticAcid",8.5,NA,3.556,3.52,"httk","no",0.926412443882426,0.0735875561175736,0,2,22.0331585357737,17.6576183859649,14.6325906168594,12.4585707253713,21.6781663121729,9.75124754170631,9.62390657669211,1.16116840239032,3.78126195147316,12.1325755343798,4.09881409345652,"RodgersRowland",NA,"in silico"
"21","Bisphenol A","80-05-7",35.3,"ul/min/10^6 cells","hep","Kurebayashi.et.al...2010","Kurebayashi.et.al...2010","10^6 cell/ml",172,NA,"","","","","",NA,"","","","","","","human","",117.5,"ChemAxon",0.044317342025393,0.0848733239255456,"in silico","LobellSivarajah","LobellSivarajah","diproticAcid",9.78,10.39,4.04,4.04,"ChemAxon","no",0.995844381597938,0.00415561840206236,0,4,51.1884349217706,36.0612399626106,29.8402559235986,25.4001558063047,44.2491828703576,19.8643590600385,19.6068327998222,2.2990532087869,7.65966630121052,24.739262387423,8.30492448918977,"RodgersRowland",NA,"in silico"
"22","Bisphenol A","80-05-7",56,"ul/min/10^6 cells","hep","Kuester..R.K...Sipes..I.G..","Kuester..R.K...Sipes..I.G..","10^6 cell/ml",171,NA,"","","","","",NA,"","","","","","","human","",117.5,"ChemAxon",0.044317342025393,0.0848733239255456,"in silico","LobellSivarajah","LobellSivarajah","diproticAcid",9.78,10.39,4.04,4.04,"ChemAxon","no",0.995844381597938,0.00415561840206236,0,4,51.1884349217706,36.0612399626106,29.8402559235986,25.4001558063047,44.2491828703576,19.8643590600385,19.6068327998222,2.2990532087869,7.65966630121052,24.739262387423,8.30492448918977,"RodgersRowland",NA,"in silico"
"23","Bisphenol A","80-05-7",135.2,"ul/min/10^6 cells","hep","Punt.et.al...2019","Punt.et.al...2019","10^6 cell/ml",220,NA,"","","","HepaRG","",NA,"","","","","","","","",117.5,"ChemAxon",0.044317342025393,0.0848733239255456,"in silico","LobellSivarajah","LobellSivarajah","diproticAcid",9.78,10.39,4.04,4.04,"ChemAxon","no",0.995844381597938,0.00415561840206236,0,4,51.1884349217706,36.0612399626106,29.8402559235986,25.4001558063047,44.2491828703576,19.8643590600385,19.6068327998222,2.2990532087869,7.65966630121052,24.739262387423,8.30492448918977,"RodgersRowland",NA,"in silico"
"24","Bosentan","147536-97-8",1.8,"ul/min/10^6 cells","hep","Louisse 2020","Blanchard.et.al...2005_1","10^6 cell/ml",11,1.5,"plated","24-well plate","WME","primary","no",0.5,"yes","no","yes","medium","no","fresh","human","no",117.5,"ChemAxon",0.00617024358399359,0.012264810300919,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,1.78619201339345,1.01856422017951,0.831038658012969,0.750576057979694,1.26330206829674,0.589734154808778,0.566323144707225,0.141781301329871,0.23309392706475,0.776009770059663,0.263004173579209,"RodgersRowland",0.358,"in silico"
"25","Bosentan","147536-97-8",4.7,"ul/min/10^6 cells","hep","Louisse 2020","Blanchard.et.al...2005_2","10^6 cell/ml",14,1.5,"plated","24-well plate","serum","primary","no",0.5,"no","no","no","medium","yes","fresh","human","no",117.5,"ChemAxon",0.00617024358399359,0.012264810300919,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,1.78619201339345,1.01856422017951,0.831038658012969,0.750576057979694,1.26330206829674,0.589734154808778,0.566323144707225,0.141781301329871,0.23309392706475,0.776009770059663,0.263004173579209,"RodgersRowland",0.358,"in silico"
"26","Bosentan","147536-97-8",1.67,"ul/min/10^6 cells","hep","Louisse 2020","Blanchard.et.al...2005_3","10^6 cell/ml",17,2,"suspension","24-well plate","WME","primary","no",0.5,"yes","no","yes","medium + cells","no","fresh","human","no",117.5,"ChemAxon",0.00617024358399359,0.012264810300919,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,1.78619201339345,1.01856422017951,0.831038658012969,0.750576057979694,1.26330206829674,0.589734154808778,0.566323144707225,0.141781301329871,0.23309392706475,0.776009770059663,0.263004173579209,"RodgersRowland",0.295,"in silico"
"27","Bosentan","147536-97-8",1.53,"ul/min/10^6 cells","hep","Louisse 2020","Blanchard.et.al...2005_4","10^6 cell/ml",20,2,"suspension","24-well plate","serum","primary","no",0.5,"no","no","no","medium + cells","yes","fresh","human","no",117.5,"ChemAxon",0.00617024358399359,0.012264810300919,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,1.78619201339345,1.01856422017951,0.831038658012969,0.750576057979694,1.26330206829674,0.589734154808778,0.566323144707225,0.141781301329871,0.23309392706475,0.776009770059663,0.263004173579209,"RodgersRowland",0.295,"in silico"
"28","Bosentan","147536-97-8",0.22,"ul/min/10^6 cells","hep","Louisse 2020","Lave.et.al...1997","10^6 cell/ml",191,1.5,"plated","culture dish","WME","primary","no",1,"no","no","no","medium + cells","yes","fresh","human","no",117.5,"ChemAxon",0.00617024358399359,0.012264810300919,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,1.78619201339345,1.01856422017951,0.831038658012969,0.750576057979694,1.26330206829674,0.589734154808778,0.566323144707225,0.141781301329871,0.23309392706475,0.776009770059663,0.263004173579209,"RodgersRowland",0.358,"in silico"
"29","Bosentan","147536-97-8",0.925,"ul/min/10^6 cells","hep","Louisse 2020","Nordell.et.al...2013","10^6 cell/ml",218,1.6,"suspension","vial","WME","primary","yes",1.5,"yes","shaking","no","medium + cells","no","cryopreserved","human","no",117.5,"ChemAxon",0.00617024358399359,0.012264810300919,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,1.78619201339345,1.01856422017951,0.831038658012969,0.750576057979694,1.26330206829674,0.589734154808778,0.566323144707225,0.141781301329871,0.23309392706475,0.776009770059663,0.263004173579209,"RodgersRowland",0.344,"in silico"
"30","Bosentan","147536-97-8",38,"ul/min/10^6 cells","hep","Louisse 2020","Soars.et.al...2007","10^6 cell/ml",241,1,"suspension","vial","DMEM","primary","yes",1,"no","shaking","yes","medium + cells","no","fresh","human","no",117.5,"ChemAxon",0.00617024358399359,0.012264810300919,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",5.8,-0.17,4.94,3.98,"ChemAxon","no",0.0245033675341756,0.975496632449664,2.69153471732508e-08,6,1.78619201339345,1.01856422017951,0.831038658012969,0.750576057979694,1.26330206829674,0.589734154808778,0.566323144707225,0.141781301329871,0.23309392706475,0.776009770059663,0.263004173579209,"RodgersRowland",0.456,"in silico"
"31","Bufuralol","54340-62-4",5.1,"ul/min/10^6 cells","hep","Louisse 2020","Floby.et.al...2009","10^6 cell/ml",122,1,"suspension","96-well plate","KHB","primary","no",0.1,"no","shaking","no","medium + cells","no","cryopreserved","human","yes",117.5,"ChemAxon",0.336487002396203,0.503539505873101,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",13.06,9.24,2.99,1.16,"ChemAxon","no",0.0142484445723229,2.18775683757944e-06,0.985751554983522,6,15.5903244638007,2.48213192232456,46.5999616368907,8.65548507289988,7.90741658567904,9.44250608833776,6.55978713453673,3.67550613625076,4.93925126695446,31.8722965172459,4.95531709531936,"RodgersRowland",0.754,"in silico"
"32","Bufuralol","54340-62-4",5.1,"ul/min/10^6 cells","hep","Louisse 2020","Sohlenius.Sternbeck.et.al...2010","10^6 cell/ml",243,1,"suspension","96-well plate","WME","primary","no",0.1,"no","shaking","no","medium + cells","no","cryopreserved","human","yes",117.5,"ChemAxon",0.336487002396203,0.503539505873101,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",13.06,9.24,2.99,1.16,"ChemAxon","no",0.0142484445723229,2.18775683757944e-06,0.985751554983522,6,15.5903244638007,2.48213192232456,46.5999616368907,8.65548507289988,7.90741658567904,9.44250608833776,6.55978713453673,3.67550613625076,4.93925126695446,31.8722965172459,4.95531709531936,"RodgersRowland",0.754,"in silico"
"33","Bufuralol","54340-62-4",15.8,"ul/min/10^6 cells","hep","Louisse 2020","Sohlenius.Sternbeck.et.al...2012","10^6 cell/ml",269,1,"suspension","96-well plate","WME","primary","no",0.1,"no","shaking","no","medium + cells","no","cryopreserved","human","yes",117.5,"ChemAxon",0.336487002396203,0.503539505873101,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",13.06,9.24,2.99,1.16,"ChemAxon","no",0.0142484445723229,2.18775683757944e-06,0.985751554983522,6,15.5903244638007,2.48213192232456,46.5999616368907,8.65548507289988,7.90741658567904,9.44250608833776,6.55978713453673,3.67550613625076,4.93925126695446,31.8722965172459,4.95531709531936,"RodgersRowland",0.754,"in silico"
"34","Bufuralol","54340-62-4",88,"ul/min/10^6 cells","hep","Louisse 2020","Zanelli.et.al...2012_1","10^6 cell/ml",327,0.25,"suspension","96-well plate","WME","HepaRG","no",0.125,"no","shaking","no","medium + cells","no","cryopreserved","human","no",117.5,"ChemAxon",0.336487002396203,0.503539505873101,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",13.06,9.24,2.99,1.16,"ChemAxon","no",0.0142484445723229,2.18775683757944e-06,0.985751554983522,6,15.5903244638007,2.48213192232456,46.5999616368907,8.65548507289988,7.90741658567904,9.44250608833776,6.55978713453673,3.67550613625076,4.93925126695446,31.8722965172459,4.95531709531936,"RodgersRowland",0.925,"in silico"
"35","Bufuralol","54340-62-4",51.3,"ul/min/10^6 cells","hep","Louisse 2020","Zanelli.et.al...2012_2","10^6 cell/ml",341,0.25,"suspension","96-well plate","WME","primary","no",0.125,"no","shaking","no","medium + cells","no","cryopreserved","human","no",117.5,"ChemAxon",0.336487002396203,0.503539505873101,"in silico","LobellSivarajah","LobellSivarajah","zwitterionic",13.06,9.24,2.99,1.16,"ChemAxon","no",0.0142484445723229,2.18775683757944e-06,0.985751554983522,6,15.5903244638007,2.48213192232456,46.5999616368907,8.65548507289988,7.90741658567904,9.44250608833776,6.55978713453673,3.67550613625076,4.93925126695446,31.8722965172459,4.95531709531936,"RodgersRowland",0.925,"in silico"
"36","Buspirone","36505-84-7",53.3,"ul/min/10^6 cells","hep","Louisse 2020","Chao.et.al..2009_1","10^6 cell/ml",56,0.1,"plated","96-well plate","non-defined commercial medium","primary","no",0.1,"no","shaking","no","medium","no","cryopreserved","human","yes",117.5,"ChemAxon",0.323632803997187,0.489006925515688,"in silico","LobellSivarajah","LobellSivarajah","diproticBase",2.06,7.62,1.78,1.35,"ChemAxon","no",0.999987843490136,0,1.21565098637477e-05,5,0.534095708402174,0.897002610915365,0.947059551483886,0.934661010491166,1.21920879944557,0.825039086945837,0.796735802959186,0.637696601106137,0.615270040364444,0.964469261356847,0.655098687959381,"RodgersRowland",0.992,"in silico"
"37","Buspirone","36505-84-7",14.9,"ul/min/10^6 cells","hep","Louisse 2020","Chao.et.al..2009_2","10^6 cell/ml",74,0.1,"plated","96-well plate","non-defined commercial medium","primary","no",0.1,"no","shaking","no","medium","yes","cryopreserved","human","yes",117.5,"ChemAxon",0.323632803997187,0.489006925515688,"in silico","LobellSivarajah","LobellSivarajah","diproticBase",2.06,7.62,1.78,1.35,"ChemAxon","no",0.999987843490136,0,1.21565098637477e-05,5,0.534095708402174,0.897002610915365,0.947059551483886,0.934661010491166,1.21920879944557,0.825039086945837,0.796735802959186,0.637696601106137,0.615270040364444,0.964469261356847,0.655098687959381,"RodgersRowland",0.992,"in silico"
"38","Buspirone","36505-84-7",23.4,"ul/min/10^6 cells","hep","Louisse 2020","Chao.et.al..2009_3","10^6 cell/ml",91,0.1,"plated","96-well plate","non-defined commercial medium","primary","no",0.1,"no","shaking","no","medium","yes","cryopreserved","human","yes",117.5,"ChemAxon",0.323632803997187,0.489006925515688,"in silico","LobellSivarajah","LobellSivarajah","diproticBase",2.06,7.62,1.78,1.35,"ChemAxon","no",0.999987843490136,0,1.21565098637477e-05,5,0.534095708402174,0.897002610915365,0.947059551483886,0.934661010491166,1.21920879944557,0.825039086945837,0.796735802959186,0.637696601106137,0.615270040364444,0.964469261356847,0.655098687959381,"RodgersRowland",0.992,"in silico"
"39","Buspirone","36505-84-7",15.1,"ul/min/10^6 cells","hep","Louisse 2020","Chao.et.al..2009_4","10^6 cell/ml",107,0.1,"plated","96-well plate","non-defined commercial medium","primary","no",0.1,"no","shaking","no","medium","yes","cryopreserved","human","yes",117.5,"ChemAxon",0.323632803997187,0.489006925515688,"in silico","LobellSivarajah","LobellSivarajah","diproticBase",2.06,7.62,1.78,1.35,"ChemAxon","no",0.999987843490136,0,1.21565098637477e-05,5,0.534095708402174,0.897002610915365,0.947059551483886,0.934661010491166,1.21920879944557,0.825039086945837,0.796735802959186,0.637696601106137,0.615270040364444,0.964469261356847,0.655098687959381,"RodgersRowland",0.992,"in silico"
