compound,CAS,Fup,method.Fup,reference.Fup,original.reference.Fup
Dextromethorphan,125-71-3,0.35,in vitro,literature,https://www.sciencedirect.com/science/article/pii/S0163725816300560
Diazepam,439-14-5,0.013,in vitro,httk,Obach 1999
Diazepam,846-49-1,0.09,in vitro,httk,Obach 2008
Diazepam,846-49-1,0.016,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Diazepam,846-49-1,0.023,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Diazepam,846-49-1,0.021449879,in vitro,this work,this work
Diazepam,846-49-1,0.031521226,in vitro,this work,this work
Diazepam,846-49-1,0.02,in vitro,literature,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4844798/              https://pubs.rsc.org/en/content/articlelanding/2014/md/c4md00148f#!divAbstract
Diazepam,846-49-1,0.019,in vitro,literature,https://www-sciencedirect-com.ezproxy.library.wur.nl/science/article/pii/S0022354920305104
Diazepam,846-49-1,0.0159,in vitro,literature,Improving Confidence in the Determination of Free Fraction for Highly Bound Drugs Using Bidirectional Equilibrium Dialysis
Diclofenac,15307-86-5,0.005,in vitro,httk,Obach 1999
Diclofenac,15307-86-5,0.003,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Diclofenac,15307-86-5,0.007,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Diclofenac,15307-86-5,0.0015,in vitro,this work,this work
Diclofenac,15307-86-5,0.0154,in vitro,this work,this work
Diclofenac,15307-86-5,0.0038,in vitro,literature,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4844798/      https://onlinelibrary.wiley.com/doi/full/10.1002/bdd.2160?sid=worldcat.org
Diclofenac,15307-86-5,0.0043,in vitro,literature,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4844798/      https://onlinelibrary.wiley.com/doi/full/10.1002/bdd.2160?sid=worldcat.org
Diclofenac,15307-86-5,0.007,in vitro,literature,https://www-sciencedirect-com.ezproxy.library.wur.nl/science/article/pii/S0022354920305104
Diclofenac,15307-86-5,0.012,in vitro,literature,https://www.sciencedirect.com/science/article/pii/S1056871910000626?casa_token=QvwtLwyxUeQAAAAA:HFas8YBwovBT9a3R8xpjAP3bEJ2srOE19nEC6KlKwNldgT9xMGHimkHjJ4zBsQyZEjQO3JXnkBE
Diltiazem,42399-41-7,0.198,in vitro,httk,Ito 2004
Diltiazem,42399-41-7,0.417,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Diltiazem,42399-41-7,0.298,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Diltiazem,42399-41-7,0.3644,in vitro,literature,https://onlinelibrary-wiley-com.ezproxy.library.wur.nl/doi/full/10.1002/jps.24119?sid=worldcat.org
Diltiazem,42399-41-7,0.572,in vitro,literature,https://onlinelibrary-wiley-com.ezproxy.library.wur.nl/doi/full/10.1002/jps.24119?sid=worldcat.org
Disopyramide,50-47-5,0.18,in vitro,httk,Obach 1999
Ibuprofen,15687-27-1,0.01,in vitro,httk,Obach 1999
Imipramine,50-49-7,0.1,in vitro,httk,Obach 1999
Imipramine,50-49-7,0.22,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Imipramine,50-49-7,0.105,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Imipramine,50-49-7,0.237,in vitro,literature,https://www-sciencedirect-com.ezproxy.library.wur.nl/science/article/pii/S0022354920305104
Imipramine,50-49-7,0.2015,in vitro,literature,https://www-sciencedirect-com.ezproxy.library.wur.nl/science/article/pii/S0022354918306105
Ketanserin,74050-98-9,0.055,in vitro,httk,Obach 2008
Ketoprofen,22071-15-4,0.008,in vitro,httk,Obach 2008
Lorazepam,846-49-1,0.09,in vitro,httk,Obach 2008
Metoprolol,51384-51-1,0.883,in vitro,httk,Shibata 2002
Midazolam,59467-70-8,0.05,in vitro,httk,Obach 1999
Midazolam,59467-70-8,0.041,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Midazolam,59467-70-8,0.019,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Midazolam,59467-70-8,0.023247227,in vitro,this work,this work
Midazolam,59467-70-8,0.049126861,in vitro,this work,this work
Midazolam,59467-70-8,0.05,in vitro,literature,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4844798/
Midazolam,59467-70-8,0.031,in vitro,literature,https://www-sciencedirect-com.ezproxy.library.wur.nl/science/article/pii/S0022354920305104
Midazolam,59467-70-8,0.01,in vitro,literature,https://www.sciencedirect.com/science/article/pii/S1056871910000626?casa_token=QvwtLwyxUeQAAAAA:HFas8YBwovBT9a3R8xpjAP3bEJ2srOE19nEC6KlKwNldgT9xMGHimkHjJ4zBsQyZEjQO3JXnkBE
Naloxone,465-65-6,0.559,in vitro,httk,Shibata 2002
Naloxone,465-65-6,0.5662,in vitro,this work,this work
Naloxone,465-65-6,0.81888,in vitro,this work,this work
Naproxen,22204-53-1,0.001,in vitro,httk,Wood 2017
Nifedipine,21829-25-4,0.044,in vitro,httk,Obach 2008
Nifedipine,21829-25-4,0.041,in vitro,httk,https://www-sciencedirect-com.ezproxy.library.wur.nl/science/article/pii/S0022354918306105
Omeprazole,73590-58-6,0.16,in vitro,httk,Ito 2004
Phenacetin,62-44-2,0.6,in vitro,httk,Shibata 2002
Pindolol,13523-86-9,0.58,in vitro,httk,Obach 2008
Prazosin,19216-56-9,0.06,in vitro,httk,Obach 2008
Prednisolone,50-24-8,0.25,in vitro,httk,Obach 2008
Propranolol,525-66-6,0.338,in vitro,httk,Wambaugh 2019
Propranolol,525-66-6,0.315,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Propranolol,525-66-6,0.213,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Propranolol,525-66-6,0.085399501,in vitro,this work,this work
Propranolol,525-66-6,0.196422155,in vitro,this work,this work
Propranolol,525-66-6,0.34,in vitro,literature,https://onlinelibrary.wiley.com/doi/full/10.1002/bdd.2160?sid=worldcat.org
Propranolol,525-66-6,0.23,in vitro,literature,A Novel Method for Preventing Non-specific Binding in Equilibrium Dialysis Assays Using Solutol® as an Additive
Propranolol,525-66-6,0.21,in vitro,literature,A Novel Method for Preventing Non-specific Binding in Equilibrium Dialysis Assays Using Solutol® as an Additive
Propranolol,525-66-6,0.18,in vitro,literature,A Novel Method for Preventing Non-specific Binding in Equilibrium Dialysis Assays Using Solutol® as an Additive
Quinidine,56-54-2,0.13,in vitro,httk,Obach 1999
Quinidine,56-54-2,0.299,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Quinidine,56-54-2,0.251,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Sildenafil,139755-83-2,0.04,in vitro,httk,Obach 2008
S-warfarin,5543-57-7,0.011,in vitro,httk,Ito 2004
S-warfarin,5543-57-7,0.006,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
S-warfarin,5543-57-7,0.014,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
S-warfarin,5543-57-7,0.021,in vitro,literature,https://www-sciencedirect-com.ezproxy.library.wur.nl/science/article/pii/S0022354920305104
S-warfarin,5543-57-7,0.0078,in vitro,literature,A Novel Method for Preventing Non-specific Binding in Equilibrium Dialysis Assays Using Solutol® as an Additive
S-warfarin,5543-57-7,0.008,in vitro,literature,A Novel Method for Preventing Non-specific Binding in Equilibrium Dialysis Assays Using Solutol® as an Additive
S-warfarin,5543-57-7,0.0229,in vitro,literature,Improving Confidence in the Determination of Free Fraction for Highly Bound Drugs Using Bidirectional Equilibrium Dialysis
S-warfarin,5543-57-7,0.0106,in vitro,literature,
S-warfarin,5543-57-7,0.0147,in vitro,literature,
Timolol,26839-75-8,0.4,in vitro,httk,Shibata 2002
Tolbutamide,64-77-7,0.04,in vitro,httk,Obach 1999
Tolbutamide,64-77-7,0.0245,in vitro,this work,this work
Tolbutamide,64-77-7,0.02174,in vitro,this work,this work
Tolbutamide,64-77-7,0.065,in vitro,literature,https://www-sciencedirect-com.ezproxy.library.wur.nl/science/article/pii/S0022354920305104
Tolbutamide,64-77-7,0.0696,in vitro,literature,Improving Confidence in the Determination of Free Fraction for Highly Bound Drugs Using Bidirectional Equilibrium Dialysis
Verapamil,52-53-9,0.1,in vitro,httk,Obach 1999
Verapamil,52-53-9,0.137,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Verapamil,52-53-9,0.233,in vitro,literature,Control and Measurement of Plasma pH in Equilibrium Dialysis: Influence on Drug Plasma Protein Binding 
Verapamil,52-53-9,0.1722,in vitro,this work,this work
Verapamil,52-53-9,0.12723,in vitro,this work,this work
Verapamil,52-53-9,0.288,in vitro,literature,https://www-sciencedirect-com.ezproxy.library.wur.nl/science/article/pii/S0022354920305104
Verapamil,52-53-9,0.1518,in vitro,literature,https://onlinelibrary-wiley-com.ezproxy.library.wur.nl/doi/full/10.1002/jps.24119?sid=worldcat.org
Verapamil,52-53-9,0.2869,in vitro,literature,https://onlinelibrary-wiley-com.ezproxy.library.wur.nl/doi/full/10.1002/jps.24119?sid=worldcat.org
Verapamil,52-53-9,0.28,in vitro,literature,https://www.sciencedirect.com/science/article/pii/S1056871910000626?casa_token=QvwtLwyxUeQAAAAA:HFas8YBwovBT9a3R8xpjAP3bEJ2srOE19nEC6KlKwNldgT9xMGHimkHjJ4zBsQyZEjQO3JXnkBE
Bisphenol A,80-05-7,0.0456,in vitro,httk,Wambaugh 2019
Ochratoxin A,303-47-9,0.0002,in vitro,httk,ECVAM
Rosuvastatin,287714-41-4,0.12,in vitro,httk,Obach 2008
Rosuvastatin,287714-41-4,0.134,in vitro,literature,Extrapolation of In Vivo Hepatic Clearance from In Vitro Uptake Clearance by Suspended Human Hepatocytes for Anionic Drugs with  High Binding to Human Albumin: Improvement of In Vitro-to-In Vivo Extrapolation by Considering the “Albumin-Mediated” Hepatic Uptake Mechanism on the Basis of the “Facilitated-Dissociation Model” 
Fluvastatin,93957-54-1,0.0079,in vitro,httk,Obach 2008
Fluvastatin,93957-54-1,0.00428,in vitro,literature,Extrapolation of In Vivo Hepatic Clearance from In Vitro Uptake Clearance by Suspended Human Hepatocytes for Anionic Drugs with  High Binding to Human Albumin: Improvement of In Vitro-to-In Vivo Extrapolation by Considering the “Albumin-Mediated” Hepatic Uptake Mechanism on the Basis of the “Facilitated-Dissociation Model” 
Curcumin,458-37-7,0.0098,in vitro,httk,Wambaugh 2019
Resveratrol,501-36-0,0.0225,in vitro,httk,Wambaugh 2019
Genistein,446-72-0,0.024258,in vitro,httk,Wetmore 2015
